380795272,Krondor: The Betrayal,Raymond E. Feist,1998,0,0
1416949658,The Dark Is Rising,Susan Cooper,1973,0,0
1857231082,The Black Unicorn,Terry Brooks,1987,0,0
553803700,"I, Robot",Isaac Asimov,1950,0,0
080213825X,Four Blondes,Candace Bushnell,2000,0,0
375913750,"Love, Stargirl",Jerry Spinelli,2007,0,0
074349671X,The Tenth Circle,Jodi Picoult,2006,0,0
743454553,Vanishing Acts,Jodi Picoult,2005,0,0
765317508,Aztec,Gary Jennings,1980,0,0
142501085,Marlfox,Brian Jacques,1998,0,0
1442468351,Lady Midnight,Cassandra Clare,2016,0,0
1439152802,The Secret Keeper,Kate Morton,2012,0,0
399153942,The Afghan,Frederick Forsyth,2006,0,0
441017835,A Touch of Dead,Charlaine Harris,2009,0,0
590554107,Daja's Book,Tamora Pierce,1998,0,0
1451648537,Steve Jobs,Walter Isaacson,2011,0,0
590396560,Cold Fire,Tamora Pierce,2002,0,0
000723368X,Thanks for the Memories,Cecelia Ahern,2008,0,0
803734735,Bitterblue,Kristin Cashore,2012,0,0
1592243002,Daisy Miller,Henry James,1878,0,0
055337849X,The Brothers K,David James Duncan,1992,0,0
61150142,The Pact,Jodi Picoult,1998,0,0
739328271,Plum Spooky,Janet Evanovich,2009,0,0
62076108,Twice Tempted,Jeaniene Frost,2013,0,0
039925675X,Legend,Marie Lu,2011,0,0
1595543414,Thr3e,Ted Dekker,2003,0,0
446679097,The Lion's Game,Nelson DeMille,2000,0,0
385339607,The Rainmaker,John Grisham,1995,0,0
1250012570,Eleanor & Park,Rainbow Rowell,2013,0,0
786838655,The Lightning Thief,Rick Riordan,2005,0,0
440225450,The Final Detail,Harlan Coben,1999,0,0
743484355,A Cry in the Night,Mary Higgins Clark,1982,0,0
670016780,Half Bad,Sally Green,2014,0,0
140621733,Lady Windermere's Fan,Oscar Wilde,1893,0,0
61662763,The Awakening,Kelley Armstrong,2009,0,0
006117758X,Ham on Rye,Charles Bukowski,1982,0,0
